,poms_id,poms_tense,poms_angry,poms_wornOut,poms_unhappy,poms_proud,poms_lively,poms_confused,poms_sad,poms_active,poms_onEdge,poms_grouchy,poms_ashamed,poms_energetic,poms_hopeless,poms_uneasy,poms_restless,poms_unableToConcentrate,poms_fatigued,poms_competent,poms_annoyed,poms_discouraged,poms_resentful,poms_nervous,poms_miserable,poms_confident,poms_bitter,poms_exhausted,poms_anxious,poms_helpless,poms_weary,poms_satisfied,poms_bewildered,poms_furious,poms_fullOfPep,poms_worthless,poms_forgetful,poms_vigorous,poms_uncertainAboutThings,poms_bushed,poms_embarrassed,poms_tenSum,poms_angSum,poms_fatSum,poms_depSum,poms_eraSum,poms_vigSum,poms_conSum,poms_tmdSum,poms_timestamp,poms_user_id
0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:04:22.232876,2
1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:05:52.773514,2
2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:09:23.118995,2
3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:10:20.593338,2
4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:10:50.588851,2
5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:11:35.634384,2
6,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:22:44.026418,2
7,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:25:27.479691,2
8,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:26:16.237275,2
9,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:27:07.866564,2
10,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:27:53.933557,2
11,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:30:40.426705,2
12,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:31:53.834968,2
13,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:33:22.980051,2
14,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:33:36.132320,2
